3.000000000000000000e+00,1.860283356658822740e+05
5.000000000000000000e+00,2.513834181477651873e+05
5.000000000000000000e+00,3.013834181477652164e+05
7.000000000000000000e+00,4.256159564353998285e+05
9.000000000000000000e+00,6.437797350137097528e+05
1.100000000000000000e+01,9.337706985551612452e+05
1.100000000000000000e+01,1.073770698555161245e+06
1.300000000000000000e+01,1.272909633206166793e+06
1.300000000000000000e+01,1.572909633206166793e+06
1.400000000000000000e+01,1.711489423724201974e+06
1.400000000000000000e+01,2.011489423724201974e+06
1.600000000000000000e+01,2.540029276515883859e+06
1.600000000000000000e+01,2.840029276515883859e+06
1.800000000000000000e+01,4.344523472143223509e+06
1.800000000000000000e+01,3.944523472143223509e+06
1.900000000000000000e+01,4.797230859860413708e+06
1.900000000000000000e+01,5.497230859860413708e+06
2.200000000000000000e+01,8.559988036509873345e+06
2.200000000000000000e+01,1.050998803650987335e+07
2.400000000000000000e+01,1.354276242435796373e+07
2.400000000000000000e+01,1.544276242435796373e+07
